School,County,SupervisoryUnion,OperatingDistrict,Grade,Enrollment,year
Glover Community School,Orleans County,Orleans Central SU,Glover,Grade08,14,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,KFull,9,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade01,15,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade02,16,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade03,13,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade04,23,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade05,19,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade06,15,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade07,16,2005
Irasburg Village School,Orleans County,Orleans Central SU,Irasburg,Grade08,18,2005
Lake Region UHSD #24 (School),Orleans County,Orleans Central SU,Lake Region UHSD #24 (District,Grade09,108,2005
Lake Region UHSD #24 (School),Orleans County,Orleans Central SU,Lake Region UHSD #24 (District,Grade10,97,2005
Lake Region UHSD #24 (School),Orleans County,Orleans Central SU,Lake Region UHSD #24 (District,Grade11,91,2005
Lake Region UHSD #24 (School),Orleans County,Orleans Central SU,Lake Region UHSD #24 (District,Grade12,81,2005
Orleans Central SU,Orleans County,Orleans Central SU,Orleans Central SU,PKEEE,73,2005
Orleans Central SU,Orleans County,Orleans Central SU,Orleans Central SU,KPart,3,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,KFull,11,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade01,14,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade02,9,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade03,9,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade04,17,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade05,8,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade06,19,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade07,31,2005
Orleans Elementary School,Orleans County,Orleans Central SU,Orleans ID,Grade08,19,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,KFull,13,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade01,21,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade02,11,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade03,11,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade04,13,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade05,18,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade06,16,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade07,22,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade08,25,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade09,18,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade10,17,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade11,16,2005
Craftsbury Schools,Orleans County,Orleans Southwest SU,Craftsbury,Grade12,15,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),KPart,3,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade01,5,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade02,9,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade03,6,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade04,13,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade05,11,2005
Lakeview USD #43 (School),Orleans County,Orleans Southwest SU,Lakeview USD #43 (District),Grade06,10,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,PKEEE,16,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,KPart,17,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade01,15,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade02,10,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade03,9,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade04,14,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade05,21,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade06,15,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade07,21,2005
Benson Village School,Rutland County,Addison Rutland SU,Benson,Grade08,9,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,PKEEE,33,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,KPart,32,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade01,43,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade02,45,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade03,48,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade04,42,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade05,43,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade06,54,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,ElementaryUngraded,4,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade07,65,2005
Castleton Hubbardton USD #42 (,Rutland County,Addison Rutland SU,Castleton Hubbardton USD #42 (,Grade08,48,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,PKEEE,23,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,KFull,30,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade01,46,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade02,37,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade03,48,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade04,39,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade05,30,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade06,45,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade07,37,2005
Fair Haven Grade School,Rutland County,Addison Rutland SU,Fair Haven,Grade08,38,2005
Fair Haven UHSD #16 (School),Rutland County,Addison Rutland SU,Fair Haven UHSD #16 (District),Grade09,167,2005
Fair Haven UHSD #16 (School),Rutland County,Addison Rutland SU,Fair Haven UHSD #16 (District),Grade10,148,2005
Fair Haven UHSD #16 (School),Rutland County,Addison Rutland SU,Fair Haven UHSD #16 (District),Grade11,136,2005
Fair Haven UHSD #16 (School),Rutland County,Addison Rutland SU,Fair Haven UHSD #16 (District),Grade12,142,2005
Bennington Rutland SU,Rutland County,Bennington Rutland SU,Bennington Rutland SU,PKEEE,74,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,KFull,22,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade01,18,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade02,20,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade03,15,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade04,12,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade05,17,2005
Currier Memorial USD #23 (Scho,Rutland County,Bennington Rutland SU,Currier Memorial USD #23 (Dist,Grade06,10,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,KFull,21,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade01,26,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade02,28,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade03,28,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade04,32,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade05,26,2005
Mettawee Community School USD,Rutland County,Bennington Rutland SU,Union School District #47,Grade06,18,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,PKEEE,16,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,KPart,22,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade01,21,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade02,26,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade03,22,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade04,33,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade05,35,2005
Proctor Elementary School,Rutland County,Rutland Central SU,Proctor,Grade06,15,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade07,30,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade08,21,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade09,30,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade10,26,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade11,29,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,Grade12,30,2005
Proctor Junior/Senior High Sch,Rutland County,Rutland Central SU,Proctor,SecondaryUngraded,1,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,PKEEE,1,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,KPart,31,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade01,26,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade02,29,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade03,34,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade04,33,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade05,35,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade06,34,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,ElementaryUngraded,2,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade07,45,2005
Rutland Town Elementary School,Rutland County,Rutland Central SU,Rutland Town,Grade08,47,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,PKEEE,13,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,KPart,25,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,KFull,1,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade01,30,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade02,26,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade03,22,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade04,23,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade05,31,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade06,33,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade07,29,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade08,41,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade09,26,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade10,34,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade11,29,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,Grade12,37,2005
West Rutland School,Rutland County,Rutland Central SU,West Rutland,SecondaryUngraded,1,2005
Rutland High School,Rutland County,Rutland City SD,Rutland City,Grade09,298,2005
Rutland High School,Rutland County,Rutland City SD,Rutland City,Grade10,289,2005
Rutland High School,Rutland County,Rutland City SD,Rutland City,Grade11,287,2005
Rutland High School,Rutland County,Rutland City SD,Rutland City,Grade12,259,2005
Rutland Intermediate School,Rutland County,Rutland City SD,Rutland City,Grade03,178,2005
Rutland Intermediate School,Rutland County,Rutland City SD,Rutland City,Grade04,177,2005
Rutland Intermediate School,Rutland County,Rutland City SD,Rutland City,Grade05,186,2005
Rutland Intermediate School,Rutland County,Rutland City SD,Rutland City,Grade06,168,2005
Rutland Middle School,Rutland County,Rutland City SD,Rutland City,Grade07,209,2005
Rutland Middle School,Rutland County,Rutland City SD,Rutland City,Grade08,203,2005
Rutland Northeast Primary Scho,Rutland County,Rutland City SD,Rutland City,PKEEE,11,2005
Rutland Northeast Primary Scho,Rutland County,Rutland City SD,Rutland City,KPart,2,2005
Rutland Northeast Primary Scho,Rutland County,Rutland City SD,Rutland City,KFull,86,2005
Rutland Northeast Primary Scho,Rutland County,Rutland City SD,Rutland City,Grade01,77,2005
Rutland Northeast Primary Scho,Rutland County,Rutland City SD,Rutland City,Grade02,73,2005
Rutland Northwest Primary Scho,Rutland County,Rutland City SD,Rutland City,PKEEE,22,2005
Rutland Northwest Primary Scho,Rutland County,Rutland City SD,Rutland City,KFull,95,2005
Rutland Northwest Primary Scho,Rutland County,Rutland City SD,Rutland City,Grade01,82,2005
Rutland Northwest Primary Scho,Rutland County,Rutland City SD,Rutland City,Grade02,76,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,PKEEE,30,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,KPart,29,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade01,23,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade02,40,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade03,29,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade04,29,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade05,26,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade06,34,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade07,37,2005
Barstow Memorial School,Rutland County,Rutland Northeast SU,Barstow Joint Contract Distric,Grade08,41,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,PKEEE,49,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,KFull,30,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade01,47,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade02,28,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade03,50,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade04,40,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade05,61,2005
Neshobe School,Rutland County,Rutland Northeast SU,Brandon,Grade06,52,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade07,123,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade08,141,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade09,146,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade10,114,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade11,107,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,Grade12,102,2005
Otter Valley UHSD #8 (School),Rutland County,Rutland Northeast SU,Otter Valley UHSD #8 (District,AW,3,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,PKEEE,35,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,KFull,48,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade01,35,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade02,19,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade03,34,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade04,40,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade05,27,2005
Lothrop School,Rutland County,Rutland Northeast SU,Pittsford,Grade06,39,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,KPart,4,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade01,5,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade02,3,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade03,4,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade04,5,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade05,6,2005
Sudbury Country School,Rutland County,Rutland Northeast SU,Sudbury,Grade06,6,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,PKEEE,41,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,KFull,23,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade01,27,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade02,35,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade03,26,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade04,26,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade05,34,2005
Clarendon Elementary School,Rutland County,Rutland South SU,Clarendon,Grade06,35,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade07,95,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade08,118,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade09,140,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade10,126,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade11,116,2005
Mill River USD #40 (School),Rutland County,Rutland South SU,Mill River USD #40 (District),Grade12,113,2005
Rutland South SU,Rutland County,Rutland South SU,Rutland South SU,PKEEE,3,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,PKEEE,14,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,KPart,10,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade01,11,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade02,10,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade03,10,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade04,4,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade05,10,2005
Shrewsbury Mountain School,Rutland County,Rutland South SU,Shrewsbury,Grade06,8,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,KFull,14,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade01,17,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade02,25,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade03,30,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade04,21,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade05,27,2005
Wallingford Village School,Rutland County,Rutland South SU,Wallingford,Grade06,26,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,PKEEE,10,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,KPart,4,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade01,5,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade02,5,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade03,9,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade04,5,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade05,6,2005
Middletown Springs Elementary,Rutland County,Rutland Southwest SU,Middletown Springs,Grade06,13,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,KFull,26,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade01,28,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade02,34,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade03,26,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade04,30,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade05,39,2005
Poultney Elementary School,Rutland County,Rutland Southwest SU,Poultney,Grade06,30,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade07,41,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade08,54,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade09,44,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade10,54,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade11,54,2005
Poultney High School,Rutland County,Rutland Southwest SU,Poultney,Grade12,46,2005
Rutland Southwest SU,Rutland County,Rutland Southwest SU,Rutland Southwest SU,PKEEE,29,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,PKEEE,4,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,KFull,3,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade01,4,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade02,6,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade03,7,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade04,1,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade05,5,2005
Tinmouth Elementary School,Rutland County,Rutland Southwest SU,Tinmouth,Grade06,9,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,KFull,11,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade01,13,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade02,6,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade03,11,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade04,13,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade05,7,2005
Wells Village School,Rutland County,Rutland Southwest SU,Wells,Grade06,11,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,KFull,15,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade01,18,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade02,8,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade03,9,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade04,14,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade05,9,2005
Mt Holly School,Rutland County,Rutland Windsor SU,Mt Holly,Grade06,12,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,KFull,14,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade01,13,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade02,9,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade03,9,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade04,11,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade05,10,2005
Killington Elementary School,Rutland County,Windsor Central SU,Sherburne,Grade06,15,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,PKEEE,36,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,KFull,103,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade01,100,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade02,87,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade03,96,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade04,98,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade05,108,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade06,92,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade07,99,2005
Barre City Elementary/Middle S,Washington County,Barre SU,Barre City,Grade08,96,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,PKEEE,39,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,KPart,105,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,KFull,11,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade01,92,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade02,111,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade03,104,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade04,96,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade05,95,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade06,114,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade07,112,2005
Barre Town Elementary School,Washington County,Barre SU,Barre Town,Grade08,120,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),PKEEE,15,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),Grade09,258,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),Grade10,238,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),Grade11,221,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),Grade12,219,2005
Spaulding HSUD #41 (School),Washington County,Barre SU,Spaulding HSUD #41 (District),AW,5,2005
Main Street School,Washington County,Montpelier SD,Montpelier,Grade06,83,2005
Main Street School,Washington County,Montpelier SD,Montpelier,Grade07,83,2005
Main Street School,Washington County,Montpelier SD,Montpelier,Grade08,97,2005
Montpelier High School,Washington County,Montpelier SD,Montpelier,Grade09,115,2005
Montpelier High School,Washington County,Montpelier SD,Montpelier,Grade10,104,2005
Montpelier High School,Washington County,Montpelier SD,Montpelier,Grade11,112,2005
Montpelier High School,Washington County,Montpelier SD,Montpelier,Grade12,81,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,KFull,51,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,Grade01,50,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,Grade02,56,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,Grade03,65,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,Grade04,88,2005
Union Elementary School,Washington County,Montpelier SD,Montpelier,Grade05,51,2005
