Fiscal Year,SUID,SUName,ORGID,OrgName,Enrollment,Concat,K12FTE,TotStaffFTE,VCFlag
2013-2014,SU056,Springfield SD,PS278,Springfield High School,454,PS2782014,35.5,72.4,0
2013-2014,SU056,Springfield SD,PS280,Union Street School,263,PS2802014,25.5,67.2,0
2013-2014,SU056,Springfield SD,SU056,Springfield SD,0,SU0562014,12.8,66.5,0
2013-2014,SU057,Blue Mountain SD,PS036,Blue Mountain US #21,386,PS0362014,37.9,81.55,0
2013-2014,SU059,Essex Town SD,PS099,Essex Elementary School,386,PS0992014,32.6,71.41,0
2013-2014,SU059,Essex Town SD,PS101,Essex Middle School,412,PS1012014,34.2,68.88,0
2013-2014,SU059,Essex Town SD,PS113,Founders Memorial School,407,PS1132014,29.18,66.54,0
2013-2014,SU059,Essex Town SD,SU059,Essex Town SD,0,SU0592014,2.7,25.13,0
2013-2014,SU060,Battenkill Valley SU,PS011,Arlington Memorial High School,213,PS0112014,23.2,45.16,0
2013-2014,SU060,Battenkill Valley SU,PS109,Fisher School,172,PS1092014,18,46.2,0
2013-2014,SU060,Battenkill Valley SU,SU060,Battenkill Valley SU,0,SU0602014,0,6,0
2013-2014,SU061,Barre SU,PS020,Barre Town Elementary School,773,PS0202014,74,144,0
2013-2014,SU061,Barre SU,PS276,Spaulding UHS #41,729,PS2762014,92.5,166.5,0
2013-2014,SU061,Barre SU,PS381,Barre City Elem/Middle School,789,PS3812014,92.85,194.1,0
2013-2014,SU061,Barre SU,SU061,Barre SU,0,SU0612014,5,28,0
2013-2014,SU063,Two Rivers SU,PS035,Black River US #39,182,PS0352014,21.95,41.97,0
2013-2014,SU063,Two Rivers SU,PS063,Cavendish Town Elem School,93,PS0632014,7.98,21.66,0
2013-2014,SU063,Two Rivers SU,PS070,Chester Andover US #29,214,PS0702014,20.1,47.63,0
2013-2014,SU063,Two Rivers SU,PS124,Green Mountain UHS #35,346,PS1242014,29.73,67.12,0
2013-2014,SU063,Two Rivers SU,PS167,Ludlow Elementary School,113,PS1672014,13.59,29.04,0
2013-2014,SU063,Two Rivers SU,PS198,Mt Holly School,73,PS1982014,11.58,18.79,0
2013-2014,SU063,Two Rivers SU,SU063,Two Rivers SU,0,SU0632014,1.8,28.1,0
2013-2014,SU064,Rivendell Interstate SD,U146,Rivendell Interstate School District,0,U1462014,0,10.32,0
2013-2014,SU064,Rivendell Interstate SD,PI004,Rivendell Academy,207,PI0042014,23.64,44.45,0
2013-2014,SU064,Rivendell Interstate SD,PS106,Samuel Morey Elementary School,162,PS1062014,14.61,32.51,0
2013-2014,SU064,Rivendell Interstate SD,PS399,Westshire School,70,PS3992014,8.69,21.04,0
2013-2014,TE001,Patricia Hannaford Career Ctr,VC001,Patricia Hannaford Career Ctr,0,VC0012014,17,34.8,0
2013-2014,TE002,SW VT Career Development Ctr,VC009,SW VT Career Development Ctr,0,VC0092014,18.5,33,0
2013-2014,TE003,River Valley Technical Center,VC016,River Valley Technical Center,0,VC0162014,18,26.25,0
2014-2015,SU001,Addison Northeast SU,PS023,Beeman Elementary School,90,PS0232015,8.9,15.91,0
2014-2015,SU001,Addison Northeast SU,PS045,Bristol Elementary School,268,PS0452015,24.6,57.88,0
2014-2015,SU001,Addison Northeast SU,PS162,Lincoln Community School,119,PS1622015,10.4,20.27,0
2014-2015,SU001,Addison Northeast SU,PS189,Monkton Central School,157,PS1892015,12.9,26.34,0
2014-2015,SU001,Addison Northeast SU,PS195,Mt Abraham UHS #28,706,PS1952015,72.88,123.29,0
2014-2015,SU001,Addison Northeast SU,PS246,Robinson School,169,PS2462015,14.6,27.96,0
2014-2015,SU001,Addison Northeast SU,SU001,Addison Northeast SU,0,SU0012015,9.1,60.07,0
2014-2015,SU002,Addison Northwest SU,PS002,Addison Central School,79,PS0022015,5.44,11.24,0
2014-2015,SU002,Addison Northwest SU,PS108,Ferrisburgh Central School,179,PS1082015,16.4,26.8,0
2014-2015,SU002,Addison Northwest SU,PS311,Vergennes Ues #44,264,PS3112015,19,32.4,0
2014-2015,SU002,Addison Northwest SU,PS312,Vergennes UHS #5,484,PS3122015,37.9,61.5,0
2014-2015,SU002,Addison Northwest SU,SU002,Addison Northwest SU,0,SU0022015,27,81.25,0
2014-2015,SU003,Addison Central SU,PS043,Bridport Central School,74,PS0432015,7.13,16.03,0
2014-2015,SU003,Addison Central SU,PS076,Bingham Memorial School,77,PS0762015,8.57,16.83,0
2014-2015,SU003,Addison Central SU,PS179,Middlebury Id#4,404,PS1792015,29.2,83.7,0
2014-2015,SU003,Addison Central SU,PS180,Middlebury Union High School,627,PS1802015,46.9,87.84,0
2014-2015,SU003,Addison Central SU,PS244,Ripton Elementary School,43,PS2442015,4.9,11.8,0
2014-2015,SU003,Addison Central SU,PS259,Salisbury Community School,82,PS2592015,9.34,17.98,0
2014-2015,SU003,Addison Central SU,PS268,Shoreham Elementary School,72,PS2682015,9.12,18.12,0
2014-2015,SU003,Addison Central SU,PS336,Weybridge Elementary School,54,PS3362015,5.1,12.2,0
2014-2015,SU003,Addison Central SU,PS366,Middlebury Union Middle School #3,259,PS3662015,27.4,56.31,0
2014-2015,SU003,Addison Central SU,SU003,Addison Central SU,0,SU0032015,31.1,74.19,0
2014-2015,SU004,Addison Rutland SU,PS031,Benson Village School,82,PS0312015,10.16,23.22,0
2014-2015,SU004,Addison Rutland SU,PS061,Castleton Hubbardton US #42,343,PS0612015,35.4,86.06,0
2014-2015,SU004,Addison Rutland SU,PS103,Fair Haven Grade School,322,PS1032015,32.7,70.24,0
2014-2015,SU004,Addison Rutland SU,PS104,Fair Haven UHS #16,437,PS1042015,44,87.67,0
2014-2015,SU004,Addison Rutland SU,PS218,Orwell Village School,110,PS2182015,12.1,20.7,0
2014-2015,SU004,Addison Rutland SU,SU004,Addison Rutland SU,0,SU0042015,6.14,22.68,0
2014-2015,SU005,Southwest Vermont SU,PS029,Bennington Elementary School,271,PS0292015,17.7,32.48,0
2014-2015,SU005,Southwest Vermont SU,PS188,Molly Stark School,378,PS1882015,24.5,42.29,0
2014-2015,SU005,Southwest Vermont SU,PS192,Monument Elementary School,132,PS1922015,9.4,18.13,0
2014-2015,SU005,Southwest Vermont SU,PS196,Mt Anthony Sr UHS #14,948,PS1962015,67.33,114.43,0
2014-2015,SU005,Southwest Vermont SU,PS197,Mt Anthony Union Middle School,608,PS1972015,39,71.5,0
2014-2015,SU005,Southwest Vermont SU,PS231,Pownal Elementary School,247,PS2312015,19,32.63,0
2014-2015,SU005,Southwest Vermont SU,PS262,Shaftsbury Elem School,242,PS2622015,15.8,24.4,0
2014-2015,SU005,Southwest Vermont SU,PS354,Woodford Hollow School,24,PS3542015,2.7,4.9,0
2014-2015,SU005,Southwest Vermont SU,SU005,Southwest Vermont SU,0,SU0052015,94.58,284.12,0
2014-2015,SU006,Bennington Rutland SU,PS079,Currier Memorial US #23,92,PS0792015,10.5,23.12,0
2014-2015,SU006,Bennington Rutland SU,PS085,Dorset School,200,PS0852015,19,40.25,0
2014-2015,SU006,Bennington Rutland SU,PS111,Flood Brook USD #301,0,PS1112015,29,62.21,0
2014-2015,SU006,Bennington Rutland SU,PS175,Manchester Elem/Middle School,350,PS1752015,39.37,85.29,0
2014-2015,SU006,Bennington Rutland SU,PS293,Sunderland Elem School,76,PS2932015,6.6,12,0
2014-2015,SU006,Bennington Rutland SU,PS392,Mettawee Community US #47,172,PS3922015,18.2,42.4,0
2014-2015,SU006,Bennington Rutland SU,SU006,Bennington Rutland SU,0,SU0062015,6.58,42.48,0
2014-2015,SU007,Colchester SD,PS072,Colchester High School,722,PS0722015,58.5,118.5,0
2014-2015,SU007,Colchester SD,PS073,Colchester Middle School,443,PS0732015,37.1,82.03,0
2014-2015,SU007,Colchester SD,PS174,Malletts Bay School,456,PS1742015,30.7,74.24,0
2014-2015,SU007,Colchester SD,PS227,Porters Point School,244,PS2272015,18.1,51.68,0
2014-2015,SU007,Colchester SD,PS309,Union Memorial School,243,PS3092015,17.65,47.08,0
2014-2015,SU007,Colchester SD,SU007,Colchester SD,0,SU0072015,3.9,50.47,0
2014-2015,SU008,Caledonia North SU,PS051,Burke Town School,187,PS0512015,17.1,24.3,0
2014-2015,SU008,Caledonia North SU,PS170,Lyndon Town School,419,PS1702015,44.9,59.95,0
2014-2015,SU008,Caledonia North SU,PS184,Millers Run School US #37,101,PS1842015,9.7,17.1,0
2014-2015,SU008,Caledonia North SU,PS201,Newark School,59,PS2012015,6.8,9.3,0
2014-2015,SU008,Caledonia North SU,PS294,Sutton Village School,105,PS2942015,9.6,15.8,0
2014-2015,SU008,Caledonia North SU,SU008,Caledonia North SU,0,SU0082015,39,85.4,0
2014-2015,SU009,Caledonia Central SU,PS018,Barnet Elementary School,191,PS0182015,21.4,39.5,0
2014-2015,SU009,Caledonia Central SU,PS082,Danville School,323,PS0822015,36.1,73,0
2014-2015,SU009,Caledonia Central SU,PS223,Peacham Elementary School,42,PS2232015,5.1,9.2,0
2014-2015,SU009,Caledonia Central SU,PS316,Walden School,82,PS3162015,9.95,16.25,0
2014-2015,SU009,Caledonia Central SU,SU009,Caledonia Central SU,0,SU0092015,2,16.48,0
2014-2015,SU010,Milton SD,PS140,Milton Elementary School,682,PS1402015,60.5,144.75,0
2014-2015,SU010,Milton SD,PS185,Milton Middle School,343,PS1852015,25.5,38.3,0
2014-2015,SU010,Milton SD,PS186,Milton High School,499,PS1862015,44,82.75,0
2014-2015,SU010,Milton SD,SU010,Milton SD,0,SU0102015,0,17.54,0
2014-2015,SU011,St Johnsbury SD,PS400,St Johnsbury Schools,623,PS4002015,59.1,138.7,0
2014-2015,SU011,St Johnsbury SD,SU011,St Johnsbury SD,0,SU0112015,0,0,0
2014-2015,SU012,Chittenden East SU,PS041,Brewster Pierce Elementary School,115,PS0412015,8.3,14.34,0
2014-2015,SU012,Chittenden East SU,PS050,Browns River Middle School,418,PS0502015,30.2,44.61,0
2014-2015,SU012,Chittenden East SU,PS058,Camels Hump Middle School,369,PS0582015,27.7,42.4,0
2014-2015,SU012,Chittenden East SU,PS152,Jericho Elementary School,242,PS1522015,18,28.55,0
2014-2015,SU012,Chittenden East SU,PS199,Mt Mansfield US #17,814,PS1992015,53.3,84.55,0
2014-2015,SU012,Chittenden East SU,PS243,Richmond Elementary School,243,PS2432015,19.2,29.7,0
2014-2015,SU012,Chittenden East SU,PS270,Smilie Memorial School(Bolton),53,PS2702015,4,8.01,0
2014-2015,SU012,Chittenden East SU,PS306,Underhill Central Elementary School,118,PS3062015,8,13.76,0
2014-2015,SU012,Chittenden East SU,PS307,Underhill Id Elementary School,98,PS3072015,6.2,10.01,0
2014-2015,SU012,Chittenden East SU,SU012,Chittenden East SU,0,SU0122015,53.93,225.94,0
2014-2015,SU013,Chittenden Central SU,PS009,Albert D Lawton School,341,PS0092015,31.8,55.7,0
2014-2015,SU013,Chittenden Central SU,PS141,Hiawatha School,227,PS1412015,19.5,44.2,0
2014-2015,SU013,Chittenden Central SU,PS292,Summit Street School,221,PS2922015,19,44.3,0
2014-2015,SU013,Chittenden Central SU,PS299,Thomas Fleming School,249,PS2992015,17.3,41.6,0
2014-2015,SU013,Chittenden Central SU,PS333,Westford Elementary School,169,PS3332015,14.8,31.6,0
2014-2015,SU013,Chittenden Central SU,PS388,Essex Community Ed Ctr,1243,PS3882015,145.7,352.3,0
2014-2015,SU013,Chittenden Central SU,SU013,Chittenden Central SU,0,SU0132015,0,37.5,0
2014-2015,SU014,Chittenden South SU,PS066,Champlain Valley UHS #15,1279,PS0662015,91,190.3,0
2014-2015,SU014,Chittenden South SU,PS068,Charlotte Central School,392,PS0682015,30,73.4,0
2014-2015,SU014,Chittenden South SU,PS143,Hinesburg Community School,498,PS1432015,34,75,0
2014-2015,SU014,Chittenden South SU,PS264,Shelburne Community School,731,PS2642015,53,127.5,0
2014-2015,SU014,Chittenden South SU,PS398,Williston Schools,1020,PS3982015,75.3,171.16,0
2014-2015,SU014,Chittenden South SU,SU014,Chittenden South SU,0,SU0142015,64.5,220.26,0
2014-2015,SU015,Burlington SD,PS052,Burlington Senior High School,1033,PS0522015,108.32,166.77,0
2014-2015,SU015,Burlington SD,PS065,Champlain Elementary School,315,PS0652015,25.36,48.52,0
2014-2015,SU015,Burlington SD,PS080,C P Smith School,277,PS0802015,21.25,45.15,0
2014-2015,SU015,Burlington SD,PS094,Edmunds Elementary School,335,PS0942015,26.55,50.39,0
2014-2015,SU015,Burlington SD,PS095,Edmunds Middle School,407,PS0952015,37.2,61.95,0
2014-2015,SU015,Burlington SD,PS155,J J Flynn School,349,PS1552015,27.05,54.05,0
2014-2015,SU015,Burlington SD,PS159,Sustain Acad At Lawrence Barnes,166,PS1592015,17.4,38.3,0
2014-2015,SU015,Burlington SD,PS169,Lyman C Hunt Middle School,400,PS1692015,35.12,62,0
2014-2015,SU015,Burlington SD,PS337,Integrated Arts Acad At Ho Wheeler,267,PS3372015,24.5,43.5,0
2014-2015,SU015,Burlington SD,SU015,Burlington SD,0,SU0152015,18.77,196.27,0
2014-2015,SU016,South Burlington SD,PS064,Chamberlin School,223,PS0642015,23.43,48.39,0
2014-2015,SU016,South Burlington SD,PS216,Orchard School,359,PS2162015,31.42,58.23,0
2014-2015,SU016,South Burlington SD,PS271,Rick Marcotte Central School,361,PS2712015,28.8,63.64,0
2014-2015,SU016,South Burlington SD,PS272,So Burlington High School,901,PS2722015,71.44,122.27,0
2014-2015,SU016,South Burlington SD,PS273,Frederick H Tuttle Middle School,495,PS2732015,46.38,82.07,0
2014-2015,SU016,South Burlington SD,SU016,South Burlington SD,0,SU0162015,2.8,115.51,0
2014-2015,SU017,Winooski SD,PS154,J F Kennedy Elem School,350,PS1542015,40.44,86.65,0
2014-2015,SU017,Winooski SD,PS351,Winooski High School,214,PS3512015,26.5,51.46,0
2014-2015,SU017,Winooski SD,PS401,Winooski Middle School,155,PS4012015,19.5,34.05,0
2014-2015,SU017,Winooski SD,SU017,Winooski SD,0,SU0172015,0,7.63,0
2014-2015,SU018,Essex Caledonia SU,PS074,Concord Graded/High School,195,PS0742015,20.2,44.25,0
2014-2015,SU018,Essex Caledonia SU,PS127,Guildhall Elementary School,20,PS1272015,2.4,4.4,0
2014-2015,SU018,Essex Caledonia SU,PS168,Lunenburg/Gilman Schools,102,PS1682015,10.65,26.45,0
2014-2015,SU018,Essex Caledonia SU,PS324,Waterford Elementary School,135,PS3242015,10.8,29.61,0
2014-2015,SU018,Essex Caledonia SU,SU018,Essex Caledonia SU,0,SU0182015,6,21.2,0
2014-2015,SU019,Essex North SU,PS059,Canaan Schools,175,PS0592015,20.5,30.25,0
2014-2015,SU019,Essex North SU,SU019,Essex North SU,0,SU0192015,2.5,17.95,0
2014-2015,SU020,Franklin Northeast SU,PS015,Bakersfield School,134,PS0152015,13.6,28.22,0
2014-2015,SU020,Franklin Northeast SU,PS032,Berkshire Elementary School,196,PS0322015,14.8,34.6,0
2014-2015,SU020,Franklin Northeast SU,PS096,Enosburg Falls Elementary School,193,PS0962015,22.7,47.8,0
2014-2015,SU020,Franklin Northeast SU,PS098,Enosburg Falls Middle-High School,444,PS0982015,50.44,109.56,0
2014-2015,SU020,Franklin Northeast SU,PS190,Montgomery Elementary School,118,PS1902015,9.7,25.17,0
2014-2015,SU020,Franklin Northeast SU,PS241,Richford Elementary School,210,PS2412015,17.9,40.9,0
2014-2015,SU020,Franklin Northeast SU,PS242,Richford Jr/Sr High School,215,PS2422015,22.21,44.01,0
2014-2015,SU020,Franklin Northeast SU,SU020,Franklin Northeast SU,0,SU0202015,10.5,27.37,0
2014-2015,SU021,Franklin Northwest SU,PS115,Franklin Elementary School,124,PS1152015,9.15,26.68,0
2014-2015,SU021,Franklin Northwest SU,PS142,Highgate Elementary School,291,PS1422015,28.8,65.78,0
2014-2015,SU021,Franklin Northwest SU,PS187,Missisquoi Valley UHS #7,814,PS1872015,87.08,176.53,0
2014-2015,SU021,Franklin Northwest SU,PS266,Sheldon Elementary School,275,PS2662015,25,53.69,0
2014-2015,SU021,Franklin Northwest SU,PS295,Swanton Schools,485,PS2952015,55.2,124.6,0
2014-2015,SU021,Franklin Northwest SU,SU021,Franklin Northwest SU,0,SU0212015,5.25,35.83,0
2014-2015,SU022,Franklin West SU,PS027,Bellows Free Academy (Fairfax),547,PS0272015,42.03,97.23,0
2014-2015,SU022,Franklin West SU,PS110,Fletcher Elementary School,118,PS1102015,11.55,24.06,0
2014-2015,SU022,Franklin West SU,PS117,Georgia Elem/Middle School,548,PS1172015,47.8,99.17,0
2014-2015,SU022,Franklin West SU,PS405,Bellows Free Academy HS(Fairfax),334,PS4052015,25.27,45.57,0
2014-2015,SU022,Franklin West SU,SU022,Franklin West SU,0,SU0222015,16.23,37.23,0
2014-2015,SU023,Franklin Central SU,PS105,Fairfield Center School,208,PS1052015,20.7,38.7,0
2014-2015,SU023,Franklin Central SU,PS288,St Albans City School,694,PS2882015,74.1,146.6,0
2014-2015,SU023,Franklin Central SU,PS289,St Albans Town Educ Center,703,PS2892015,63,133.5,0
2014-2015,SU023,Franklin Central SU,PS406,Bellows Free Academy (St Albans),987,PS4062015,112.4,197.02,0
2014-2015,SU023,Franklin Central SU,SU023,Franklin Central SU,0,SU0232015,1,30.08,0
2014-2015,SU024,Grand Isle SU,PS010,Alburgh Community Ed Center,186,PS0102015,20.4,44.7,0
2014-2015,SU024,Grand Isle SU,PS112,Folsom Ed And Community Ctr,119,PS1122015,14.36,27.89,0
2014-2015,SU024,Grand Isle SU,PS122,Grand Isle  School,184,PS1222015,19.2,41.4,0
2014-2015,SU024,Grand Isle SU,PS148,Isle La Motte Elem School,20,PS1482015,4.37,8.18,0
2014-2015,SU024,Grand Isle SU,PS209,North Hero School,48,PS2092015,6.05,11.11,0
2014-2015,SU024,Grand Isle SU,SU024,Grand Isle SU,0,SU0242015,1.2,12.4,0
2014-2015,SU025,Lamoille North SU,PS057,Cambridge Elementary School,330,PS0572015,33.3,76.3,0
2014-2015,SU025,Lamoille North SU,PS093,Eden Central School,106,PS0932015,12.5,47.5,0
2014-2015,SU025,Lamoille North SU,PS145,Hyde Park Elementary School,214,PS1452015,24.5,61.43,0
2014-2015,SU025,Lamoille North SU,PS153,Johnson Elementary School,228,PS1532015,23,54.4,0
2014-2015,SU025,Lamoille North SU,PS158,Lamoille UHS #18,545,PS1582015,65.6,136,0
2014-2015,SU025,Lamoille North SU,PS325,Waterville Elementary School,76,PS3252015,8,20.2,0
2014-2015,SU025,Lamoille North SU,PS404,Lamoille Union Middle School #18,239,PS4042015,27.6,47.68,0
2014-2015,SU025,Lamoille North SU,SU025,Lamoille North SU,0,SU0252015,0,23.8,0
2014-2015,SU026,Lamoille South SU,PS156,Elmore School,20,PS1562015,1,3.23,0
2014-2015,SU026,Lamoille South SU,PS194,Morristown Elem Schools,292,PS1942015,25.6,55.58,0
2014-2015,SU026,Lamoille South SU,PS224,Peoples Academy,240,PS2242015,22.27,45.79,0
2014-2015,SU026,Lamoille South SU,PS286,Stowe Elementary School,320,PS2862015,25.45,51.13,0
2014-2015,SU026,Lamoille South SU,PS287,Stowe Middle/High School,405,PS2872015,35.95,70.57,0
2014-2015,SU026,Lamoille South SU,PS394,Peoples Academy Middle School,259,PS3942015,24.4,47.56,0
2014-2015,SU026,Lamoille South SU,SU026,Lamoille South SU,0,SU0262015,0,23.13,0
2014-2015,SU027,Orange East SU,PS037,Bradford Elementary School,227,PS0372015,24.2,52.74,0
2014-2015,SU027,Orange East SU,PS202,Newbury Elementary School,130,PS2022015,13.8,38.6,0
2014-2015,SU027,Orange East SU,PS220,Oxbow UHS #30,368,PS2202015,50,95.36,0
2014-2015,SU027,Orange East SU,PS298,Thetford Elementary School,197,PS2982015,20.9,48.28,0
2014-2015,SU027,Orange East SU,PS310,Waits River Valley US #36,223,PS3102015,27,55,0
2014-2015,SU027,Orange East SU,SU027,Orange East SU,0,SU0272015,0.67,14.83,0
2014-2015,SU028,Orange Southwest SU,PS038,Braintree School,75,PS0382015,6.8,8.3,0
2014-2015,SU028,Orange Southwest SU,PS047,Brookfield Elementary School,59,PS0472015,6.4,7.65,0
2014-2015,SU028,Orange Southwest SU,PS237,Randolph UHS #2,445,PS2372015,52.4,76.05,0
2014-2015,SU028,Orange Southwest SU,PS359,Randolph Elementary School,289,PS3592015,23.2,30.7,0
2014-2015,SU028,Orange Southwest SU,SU028,Orange Southwest SU,0,SU0282015,17,88.7,0
2014-2015,SU029,Orange North SU,PS215,Orange Center School,102,PS2152015,9.1,20.9,0
2014-2015,SU029,Orange North SU,PS322,Washington Village School,80,PS3222015,7.3,17.7,0
2014-2015,SU029,Orange North SU,PS343,Williamstown Elem School,196,PS3432015,16,33,0
2014-2015,SU029,Orange North SU,PS344,Williamstown Middle/High School,321,PS3442015,20.5,43.5,0
2014-2015,SU029,Orange North SU,SU029,Orange North SU,0,SU0292015,9,23.4,0
2014-2015,SU030,Orange Windsor SU,PS069,Chelsea Elem High School,177,PS0692015,18.5,29.5,0
2014-2015,SU030,Orange Windsor SU,PS206,Newton School,116,PS2062015,12.03,18.01,0
2014-2015,SU030,Orange Windsor SU,PS263,Sharon Elementary School,120,PS2632015,10.6,21.56,0
2014-2015,SU030,Orange Windsor SU,PS274,So Royalton Elem/High School,335,PS2742015,28.13,43.48,0
2014-2015,SU030,Orange Windsor SU,PS303,Tunbridge Central School,103,PS3032015,12.2,19.2,0
2014-2015,SU030,Orange Windsor SU,SU030,Orange Windsor SU,0,SU0302015,10,57.92,0
2014-2015,SU031,North Country SU,PS044,Brighton Elementary School,78,PS0442015,12.23,27.63,0
2014-2015,SU031,North Country SU,PS067,Charleston Elem School,107,PS0672015,12.79,25.59,0
2014-2015,SU031,North Country SU,PS077,Coventry Village School,102,PS0772015,12.59,22.04,0
2014-2015,SU031,North Country SU,PS084,Derby Elementary School,350,PS0842015,34,84.96,0
2014-2015,SU031,North Country SU,PS144,Holland Elementary School,45,PS1442015,6.6,15.78,0
2014-2015,SU031,North Country SU,PS166,Lowell Graded School,101,PS1662015,11.56,25.44,0
2014-2015,SU031,North Country SU,PS204,Newport City Elem Schools,305,PS2042015,34,77.63,0
2014-2015,SU031,North Country SU,PS205,Newport Town School,89,PS2052015,11.7,28.54,0
2014-2015,SU031,North Country SU,PS208,North Country UHS #22A,796,PS2082015,94,187.38,0
2014-2015,SU031,North Country SU,PS302,Troy Elementary School,165,PS3022015,16.4,38,0
2014-2015,SU031,North Country SU,PS364,North Country Union Jr High #22B,270,PS3642015,33.5,67.4,0
2014-2015,SU031,North Country SU,PS374,Jay/Westfield Joint School,82,PS3742015,10.2,20.98,0
2014-2015,SU031,North Country SU,SU031,North Country SU,0,SU0312015,5.5,55.78,0
2014-2015,SU032,Washington Central SU,PS033,Berlin Elementary School,168,PS0332015,17,36.4,0
2014-2015,SU032,Washington Central SU,PS056,Calais Elementary School,117,PS0562015,11.1,25.47,0
2014-2015,SU032,Washington Central SU,PS091,East Montpelier Elem School,175,PS0912015,17.4,35.34,0
2014-2015,SU032,Washington Central SU,PS181,Rumney Memorial School (Middlesex),156,PS1812015,13.9,31.61,0
2014-2015,SU032,Washington Central SU,PS305,U32 UHS #32,775,PS3052015,71.9,148.32,0
2014-2015,SU032,Washington Central SU,PS357,Doty Memorial School,63,PS3572015,8.1,17.02,0
2014-2015,SU032,Washington Central SU,SU032,Washington Central SU,0,SU0322015,3,23.8,0
2014-2015,SU033,Rutland South SU,PS071,Clarendon Elementary School,155,PS0712015,17.6,29.6,0
2014-2015,SU033,Rutland South SU,PS183,Mill River US #40,492,PS1832015,43.49,72.12,0
2014-2015,SU033,Rutland South SU,PS269,Shrewsbury Mountain School,62,PS2692015,6.65,11.46,0
2014-2015,SU033,Rutland South SU,PS300,Tinmouth Elementary School,33,PS3002015,4.57,8.29,0
2014-2015,SU033,Rutland South SU,PS317,Wallingford Village School,122,PS3172015,9.6,19.8,0
2014-2015,SU033,Rutland South SU,SU033,Rutland South SU,0,SU0332015,16.9,79.61,0
2014-2015,SU034,Orleans Central SU,PS007,Albany Community School,82,PS0072015,8.5,15.72,0
2014-2015,SU034,Orleans Central SU,PS022,Barton Graded School,161,PS0222015,15,26.5,0
2014-2015,SU034,Orleans Central SU,PS049,Brownington Central School,101,PS0492015,10.6,15.58,0
2014-2015,SU034,Orleans Central SU,PS118,Glover Community School,122,PS1182015,10.2,19.3,0
2014-2015,SU034,Orleans Central SU,PS147,Irasburg Village School,124,PS1472015,11.18,18.82,0
2014-2015,SU034,Orleans Central SU,PS157,Lake Region UHS #24,352,PS1572015,29.83,51.74,0
2014-2015,SU034,Orleans Central SU,PS217,Orleans Elementary School,105,PS2172015,10.4,18.22,0
2014-2015,SU034,Orleans Central SU,SU034,Orleans Central SU,0,SU0342015,22.46,87.27,0
2014-2015,SU035,Orleans Southwest SU,PS078,Craftsbury Schools,168,PS0782015,16.9,28.7,0
2014-2015,SU035,Orleans Southwest SU,PS126,Lakeview US #43,75,PS1262015,6,13,0
2014-2015,SU035,Orleans Southwest SU,PS131,Hardwick Elementary School,236,PS1312015,21,32.4,0
2014-2015,SU035,Orleans Southwest SU,PS139,Hazen UHS #26,347,PS1392015,29.7,53.7,0
2014-2015,SU035,Orleans Southwest SU,PS352,Wolcott Elementary School,126,PS3522015,10.1,18.5,0
2014-2015,SU035,Orleans Southwest SU,PS353,Woodbury Elementary School,44,PS3532015,4.6,11.1,0
2014-2015,SU035,Orleans Southwest SU,SU035,Orleans Southwest SU,0,SU0352015,21.5,95.5,0
2014-2015,SU036,Rutland Northeast SU,PS021,Barstow Memorial School,191,PS0212015,18.97,30.18,0
2014-2015,SU036,Rutland Northeast SU,PS160,Leicester Central School,59,PS1602015,5.2,9.13,0
2014-2015,SU036,Rutland Northeast SU,PS165,Lothrop School,197,PS1652015,20.9,34.31,0
2014-2015,SU036,Rutland Northeast SU,PS200,Neshobe School,323,PS2002015,25.91,43.85,0
2014-2015,SU036,Rutland Northeast SU,PS219,Otter Valley UHS #8,526,PS2192015,42.41,66.24,0
2014-2015,SU036,Rutland Northeast SU,PS290,Sudbury Country School,29,PS2902015,4,5.92,0
2014-2015,SU036,Rutland Northeast SU,PS340,Whiting Village School,31,PS3402015,3.1,5.1,0
2014-2015,SU036,Rutland Northeast SU,SU036,Rutland Northeast SU,0,SU0362015,28.95,143.01,0
2014-2015,SU037,Rutland Central SU,PS232,Proctor Elementary School,129,PS2322015,22.21,44.01,0
2014-2015,SU037,Rutland Central SU,PS233,Proctor Jr/Sr High School,134,PS2332015,14,32.6,0
2014-2015,SU037,Rutland Central SU,PS258,Rutland Town Elem School,349,PS2582015,31.1,55.73,0
2014-2015,SU037,Rutland Central SU,PS331,West Rutland School,323,PS3312015,37.36,66.96,0
2014-2015,SU037,Rutland Central SU,SU037,Rutland Central SU,0,SU0372015,3,23.54,0
2014-2015,SU038,Rutland Southwest SU,PS182,Middletown Springs Elem School,62,PS1822015,6.5,13.5,0
2014-2015,SU038,Rutland Southwest SU,PS229,Poultney Elementary School,192,PS2292015,19,37,0
2014-2015,SU038,Rutland Southwest SU,PS230,Poultney High School,209,PS2302015,25,48.5,0
2014-2015,SU038,Rutland Southwest SU,PS328,Wells Village School,78,PS3282015,9.9,21.5,0
2014-2015,SU038,Rutland Southwest SU,SU038,Rutland Southwest SU,0,SU0382015,4,20.8,0
2014-2015,SU040,Rutland City SD,PS253,Rutland High School,846,PS2532015,94.44,162.28,0
2014-2015,SU040,Rutland City SD,PS255,Northeast Primary School,206,PS2552015,20.75,41.75,0
2014-2015,SU040,Rutland City SD,PS256,Northwest Primary School,225,PS2562015,23.75,47.25,0
2014-2015,SU040,Rutland City SD,PS365,Rutland Middle School,318,PS3652015,27.97,51.22,0
